Company,lat,long
Caorunn,57.3243053,-3.5376846
Pickering Gin,55.940193,-3.1837097
Shetland Reel,60.7979736,-0.8268867
Edinburgh Gin,55.9499177,-3.2102629
The Botanist,55.7650399,-6.3710333
The Old Curiosity,55.8845501,-3.1889337
Leith Gin,55.9801256,-3.1825139
Rock Rose Gin,58.5975986,-3.358843
Kinrara Gin,57.1474398,-3.8725768
The Biggar Gin,55.67455,-3.8261
